,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4
141,63.46153846153846,,,,
142,63.46153846153846,,,,
143,63.62179487179487,,,,
144,63.62179487179487,,,,
145,63.62179487179487,,,,
146,63.782051282051285,,,,
147,63.782051282051285,,,,
148,63.62179487179487,,,,
149,63.782051282051285,,,,
150,63.62179487179487,,,,
151,63.782051282051285,,,,
152,63.62179487179487,,,,
153,63.62179487179487,,,,
154,63.62179487179487,,,,
155,63.62179487179487,,,,
156,63.62179487179487,,,,
157,63.782051282051285,,,,
158,63.62179487179487,,,,
159,63.782051282051285,,,,
160,63.62179487179487,,,,
161,63.782051282051285,,,,
162,63.62179487179487,,,,
163,63.782051282051285,,,,
164,63.94230769230769,,,,
165,63.94230769230769,,,,
166,63.94230769230769,,,,
167,64.1025641025641,,,,
168,64.26282051282051,,,,
169,64.1025641025641,,,,
170,63.782051282051285,,,,
171,64.1025641025641,,,,
172,63.94230769230769,,,,
173,63.94230769230769,,,,
174,64.1025641025641,,,,
175,63.94230769230769,,,,
176,64.1025641025641,,,,
177,63.94230769230769,,,,
178,63.782051282051285,,,,
179,63.62179487179487,,,,
180,63.62179487179487,,,,
181,63.62179487179487,,,,
182,63.62179487179487,,,,
183,63.62179487179487,,,,
184,63.62179487179487,,,,
185,63.62179487179487,,,,
186,63.62179487179487,,,,
187,63.62179487179487,,,,
188,63.62179487179487,,,,
189,63.62179487179487,,,,
190,63.94230769230769,,,,
191,63.62179487179487,,,,
192,63.782051282051285,,,,
193,63.62179487179487,,,,
194,63.46153846153846,,,,
195,63.46153846153846,,,,
196,63.46153846153846,,,,
197,63.46153846153846,,,,
198,63.46153846153846,,,,
199,63.46153846153846,,,,
200,63.62179487179487,,,,
201,63.30128205128205,,,,
202,63.30128205128205,,,,
203,63.46153846153846,,,,
204,63.30128205128205,,,,
205,63.46153846153846,,,,
206,63.30128205128205,,,,
207,63.46153846153846,,,,
208,63.46153846153846,,,,
209,63.46153846153846,,,,
210,63.782051282051285,,,,
211,63.46153846153846,,,,
212,63.94230769230769,,,,
213,63.46153846153846,,,,
214,63.30128205128205,,,,
215,63.30128205128205,,,,
216,63.46153846153846,,,,
217,63.46153846153846,,,,
218,63.46153846153846,,,,
219,63.46153846153846,,,,
220,63.62179487179487,,,,
221,63.46153846153846,,,,
222,63.46153846153846,,,,
223,63.46153846153846,,,,
224,63.46153846153846,,,,
225,63.46153846153846,,,,
226,63.62179487179487,,,,
227,63.62179487179487,,,,
228,63.62179487179487,,,,
229,63.782051282051285,,,,
230,63.62179487179487,,,,
231,63.62179487179487,,,,
232,63.62179487179487,,,,
233,63.782051282051285,,,,
234,63.62179487179487,,,,
235,63.782051282051285,,,,
236,63.62179487179487,,,,
237,63.62179487179487,,,,
238,63.30128205128205,,,,
239,63.782051282051285,,,,
240,63.782051282051285,,,,
241,63.782051282051285,,,,
242,63.46153846153846,,,,
243,63.62179487179487,,,,
244,63.782051282051285,,,,
245,63.62179487179487,,,,
246,63.782051282051285,,,,
247,63.62179487179487,,,,
248,63.46153846153846,,,,
249,63.46153846153846,,,,
250,63.30128205128205,,,,
251,63.30128205128205,,,,
252,63.30128205128205,,,,
253,63.46153846153846,,,,
254,63.46153846153846,,,,
255,63.46153846153846,,,,
256,63.46153846153846,,,,
257,63.46153846153846,,,,
258,63.782051282051285,,,,
259,63.62179487179487,,,,
260,63.62179487179487,,,,
261,63.62179487179487,,,,
262,63.62179487179487,,,,
263,63.62179487179487,,,,
264,63.46153846153846,,,,
265,63.30128205128205,,,,
266,63.30128205128205,,,,
267,63.782051282051285,,,,
268,63.94230769230769,,,,
269,64.26282051282051,,,,
270,64.26282051282051,,,,
271,64.26282051282051,,,,
272,64.26282051282051,,,,
273,64.1025641025641,,,,
274,63.94230769230769,,,,
275,63.94230769230769,,,,
276,63.94230769230769,,,,
277,64.42307692307692,,,,
278,64.1025641025641,,,,
279,63.782051282051285,,,,
280,63.62179487179487,,,,
281,63.46153846153846,,,,
282,63.782051282051285,,,,
283,63.94230769230769,,,,
284,63.46153846153846,,,,
285,63.46153846153846,,,,
286,63.62179487179487,,,,
287,63.46153846153846,,,,
288,63.30128205128205,,,,
289,63.46153846153846,,,,
290,63.62179487179487,,,,
291,63.94230769230769,,,,
292,63.782051282051285,,,,
