,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4,Mean
63,61.53846153846154,,,,,61.53846153846154
64,61.69871794871795,,,,,61.69871794871795
65,61.53846153846154,,,,,61.53846153846154
66,61.69871794871795,,,,,61.69871794871795
67,61.53846153846154,,,,,61.53846153846154
68,61.21794871794872,,,,,61.21794871794872
69,61.37820512820513,,,,,61.37820512820513
70,61.53846153846154,,,,,61.53846153846154
71,61.85897435897436,,,,,61.85897435897436
72,61.69871794871795,,,,,61.69871794871795
73,61.69871794871795,,,,,61.69871794871795
74,61.69871794871795,,,,,61.69871794871795
75,62.01923076923077,,,,,62.01923076923077
76,62.01923076923077,,,,,62.01923076923077
77,61.85897435897436,,,,,61.85897435897436
78,62.17948717948718,,,,,62.17948717948718
79,61.85897435897436,,,,,61.85897435897436
80,62.01923076923077,,,,,62.01923076923077
81,61.85897435897436,,,,,61.85897435897436
82,61.53846153846154,,,,,61.53846153846154
83,61.69871794871795,,,,,61.69871794871795
84,61.69871794871795,,,,,61.69871794871795
85,61.69871794871795,,,,,61.69871794871795
86,61.85897435897436,,,,,61.85897435897436
87,61.69871794871795,,,,,61.69871794871795
88,61.85897435897436,,,,,61.85897435897436
89,61.69871794871795,,,,,61.69871794871795
90,61.85897435897436,,,,,61.85897435897436
91,62.17948717948718,,,,,62.17948717948718
92,62.17948717948718,,,,,62.17948717948718
93,62.17948717948718,,,,,62.17948717948718
94,62.17948717948718,,,,,62.17948717948718
95,62.33974358974359,,,,,62.33974358974359
96,62.33974358974359,,,,,62.33974358974359
97,62.5,,,,,62.5
98,62.5,,,,,62.5
99,62.5,,,,,62.5
100,62.33974358974359,,,,,62.33974358974359
101,62.5,,,,,62.5
102,62.33974358974359,,,,,62.33974358974359
103,62.33974358974359,,,,,62.33974358974359
104,62.33974358974359,,,,,62.33974358974359
105,62.5,,,,,62.5
106,62.33974358974359,,,,,62.33974358974359
107,62.33974358974359,,,,,62.33974358974359
108,62.33974358974359,,,,,62.33974358974359
109,62.5,,,,,62.5
110,62.33974358974359,,,,,62.33974358974359
111,62.5,,,,,62.5
112,62.33974358974359,,,,,62.33974358974359
113,62.5,,,,,62.5
114,62.33974358974359,,,,,62.33974358974359
115,62.33974358974359,,,,,62.33974358974359
116,62.33974358974359,,,,,62.33974358974359
117,62.33974358974359,,,,,62.33974358974359
118,62.66025641025641,,,,,62.66025641025641
119,62.66025641025641,,,,,62.66025641025641
120,62.66025641025641,,,,,62.66025641025641
121,62.5,,,,,62.5
122,62.66025641025641,,,,,62.66025641025641
123,62.5,,,,,62.5
124,62.5,,,,,62.5
125,62.33974358974359,,,,,62.33974358974359
126,62.33974358974359,,,,,62.33974358974359
127,62.33974358974359,,,,,62.33974358974359
128,62.33974358974359,,,,,62.33974358974359
129,62.33974358974359,,,,,62.33974358974359
130,62.33974358974359,,,,,62.33974358974359
131,62.66025641025641,,,,,62.66025641025641
132,62.5,,,,,62.5
133,62.5,,,,,62.5
134,62.66025641025641,,,,,62.66025641025641
135,62.82051282051282,,,,,62.82051282051282
136,62.98076923076923,,,,,62.98076923076923
137,62.82051282051282,,,,,62.82051282051282
138,62.98076923076923,,,,,62.98076923076923
139,62.98076923076923,,,,,62.98076923076923
140,62.98076923076923,,,,,62.98076923076923
141,62.98076923076923,,,,,62.98076923076923
142,62.82051282051282,,,,,62.82051282051282
143,62.66025641025641,,,,,62.66025641025641
144,62.82051282051282,,,,,62.82051282051282
145,62.82051282051282,,,,,62.82051282051282
146,62.66025641025641,,,,,62.66025641025641
