,Domain 0,Domain 1,Domain 2,Domain 3,Mean
260,61.37295081967213,,,,61.37295081967213
261,61.27049180327869,,,,61.27049180327869
262,61.37295081967213,,,,61.37295081967213
263,61.47540983606557,,,,61.47540983606557
264,61.37295081967213,,,,61.37295081967213
265,61.16803278688525,,,,61.16803278688525
266,61.16803278688525,,,,61.16803278688525
267,61.27049180327869,,,,61.27049180327869
268,61.37295081967213,,,,61.37295081967213
269,61.68032786885246,,,,61.68032786885246
270,61.37295081967213,,,,61.37295081967213
271,61.37295081967213,,,,61.37295081967213
272,61.57786885245902,,,,61.57786885245902
273,61.47540983606557,,,,61.47540983606557
274,61.37295081967213,,,,61.37295081967213
275,61.47540983606557,,,,61.47540983606557
276,61.37295081967213,,,,61.37295081967213
277,61.16803278688525,,,,61.16803278688525
278,61.27049180327869,,,,61.27049180327869
279,61.27049180327869,,,,61.27049180327869
280,61.37295081967213,,,,61.37295081967213
281,61.47540983606557,,,,61.47540983606557
282,61.47540983606557,,,,61.47540983606557
283,61.47540983606557,,,,61.47540983606557
284,61.37295081967213,,,,61.37295081967213
285,61.37295081967213,,,,61.37295081967213
286,61.47540983606557,,,,61.47540983606557
287,61.47540983606557,,,,61.47540983606557
288,61.27049180327869,,,,61.27049180327869
289,61.37295081967213,,,,61.37295081967213
290,61.37295081967213,,,,61.37295081967213
291,61.47540983606557,,,,61.47540983606557
292,61.37295081967213,,,,61.37295081967213
293,61.37295081967213,,,,61.37295081967213
294,61.47540983606557,,,,61.47540983606557
295,61.37295081967213,,,,61.37295081967213
296,61.47540983606557,,,,61.47540983606557
297,61.47540983606557,,,,61.47540983606557
298,61.78278688524591,,,,61.78278688524591
299,61.885245901639344,,,,61.885245901639344
300,61.37295081967213,35.0,,,48.18647540983606
301,61.98770491803279,37.61904761904762,,,49.803376268540205
302,61.0655737704918,40.0,,,50.5327868852459
303,60.75819672131148,44.76190476190476,,,52.76005074160812
304,60.24590163934426,48.80952380952381,,,54.52771272443404
305,59.93852459016394,50.23809523809524,,,55.08830991412959
306,59.73360655737705,53.095238095238095,,,56.41442232630757
307,59.631147540983605,56.19047619047619,,,57.9108118657299
308,59.1188524590164,59.04761904761905,,,59.08323575331772
309,58.81147540983606,61.42857142857143,,,60.12002341920375
310,59.22131147540984,63.095238095238095,,,61.15827478532397
311,59.1188524590164,66.19047619047619,,,62.65466432474629
312,58.50409836065574,68.33333333333333,,,63.41871584699453
313,58.09426229508197,69.76190476190476,,,63.92808352849336
314,57.99180327868852,71.9047619047619,,,64.94828259172522
315,58.19672131147541,72.61904761904762,,,65.40788446526152
316,57.88934426229508,73.0952380952381,,,65.49229117876659
317,57.58196721311475,72.14285714285714,,,64.86241217798595
318,57.47950819672131,72.61904761904762,,,65.04927790788446
319,57.06967213114754,73.0952380952381,,,65.08245511319282
320,57.06967213114754,73.0952380952381,,,65.08245511319282
321,56.967213114754095,72.85714285714286,,,64.91217798594847
322,56.454918032786885,73.0952380952381,,,64.77507806401249
323,56.454918032786885,73.57142857142857,,,65.01317330210773
324,56.25,73.80952380952381,,,65.0297619047619
325,56.14754098360656,74.52380952380952,,,65.33567525370805
326,56.25,74.52380952380952,,,65.38690476190476
327,56.454918032786885,75.0,,,65.72745901639344
328,55.94262295081968,74.52380952380952,,,65.2332162373146
329,55.73770491803279,75.0,,,65.3688524590164
330,55.22540983606557,74.76190476190476,,,64.99365729898517
331,55.32786885245902,75.0,,,65.1639344262295
332,55.12295081967213,75.23809523809524,,,65.18052302888368
333,54.8155737704918,75.0,,,64.9077868852459
